关键词,国家代码,广告标题,广告URL,目标URL,真实目标URL,Ref参数,Ch参数,UTM Campaign参数,广告描述,位置,抓取时间
bingx,fr,Bingx,https://www.google.com/aclk?sa=L&ai=DChsSEwjHu92DvMqPAxWwqf0FHdeDJlgYACICCAEQABoCd2Y&co=1&ase=2&gclid=EAIaIQobChMIx7vdg7zKjwMVsKn9BR3XgyZYEAAYASAAEgIQn_D_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_1d6rfM27MRJLJeBu1M4X4HeodAiA&q&nis=4&adurl,,,,,,,1,2025-09-09 08:54:47.684490
bingx,fr,Bingx,https://www.google.com/aclk?sa=L&ai=DChsSEwjHu92DvMqPAxWwqf0FHdeDJlgYACICCAIQABoCd2Y&co=1&ase=2&gclid=EAIaIQobChMIx7vdg7zKjwMVsKn9BR3XgyZYEAMYASAAEgL9IPD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_0AXftAb3itP-KanKr7Uk6gntimvQ&q&nis=4&adurl,,,,,,,2,2025-09-09 08:54:47.684490
bingx,in,BingX,,,,,,,"A top crypto exchange & social trading platform. Buy Bitcoin, trade 750+ cryptocurrencies, and use copy trading tools. Start trading today!",1,2025-09-09 08:24:01.982110
bingx,in,BingX,https://bingx.com/en/accounts/login,https://bingx.com/en/accounts/login,,,,,"A top crypto exchange & social trading platform. Buy Bitcoin, trade 750+ cryptocurrencies, and use copy trading tools. Start trading today!",9,2025-09-09 08:24:01.982110
bingx,in,BingX,https://bingx.com/en,https://bingx.com/en,,,,,"A top crypto exchange & social trading platform. Buy Bitcoin, trade 750+ cryptocurrencies, and use copy trading tools. Start trading today!",10,2025-09-09 08:24:01.982110
bingx,in,BingX App Download,https://bingx.com/en/download,https://bingx.com/en/download,,,,,,14,2025-09-09 08:24:01.982110
bingx,in,BingX Academy,https://bingx.com/en/guide,https://bingx.com/en/guide,,,,,,15,2025-09-09 08:24:01.982110
bingx,in,"BingX Trade BTC, Buy Crypto - Apps on Google Play",https://play.google.com/store/apps/details?id=pro.bingbon.app,https://play.google.com/store/apps/details?id=pro.bingbon.app,,,,,,17,2025-09-09 08:24:01.982110
bingx,in,"Offers Spot, Derivatives, Copy, and Grid Trading Services",https://bingx.com/partner/BL,https://bingx.com/partner/BL,,,,,,19,2025-09-09 08:24:01.982110
bingx,in,BingX,https://pa.linkedin.com/company/bingxofficial,https://pa.linkedin.com/company/bingxofficial,,,,,"Founded in 2018, BingX is a leading crypto exchange and Web3 AI company, serving a global community of over 20 million users. With a comprehensive suite of ...",24,2025-09-09 08:24:01.982110
bingx,in,BingX: Buy Bitcoin & Crypto 12+ - App Store,https://apps.apple.com/us/app/bingx-buy-bitcoin-crypto/id1500217666,https://apps.apple.com/us/app/bingx-buy-bitcoin-crypto/id1500217666,,,,,"BingX is a global cryptocurrency exchange that offers diversified products and services, including spot, derivatives, copy trading and wealth management – all ...",25,2025-09-09 08:24:01.982110
bingx,in,BingX trade volume and market listings,https://coinmarketcap.com/exchanges/bingx/,https://coinmarketcap.com/exchanges/bingx/,,,,,,26,2025-09-09 08:24:01.982110
bingx,in,BingX (@BingXOfficial) / X,https://x.com/bingxofficial,https://x.com/bingxofficial,,,,,A leading crypto exchange and Web3 AI company | Listings on @BingXListing | Official cryptocurrency partner of @ChelseaFC.,28,2025-09-09 08:24:01.982110
bingx,in,"BingX Statistics: Markets, Trading Volume & Trust Score",https://www.coingecko.com/en/exchanges/bingx,https://www.coingecko.com/en/exchanges/bingx,,,,,,29,2025-09-09 08:24:01.982110
bingx,in,BingX (@bingxofficial) • Instagram photos and videos,https://www.instagram.com/bingxofficial/,https://www.instagram.com/bingxofficial/,,,,,A leading crypto exchange and Web3 AI company. Official cryptocurrency partner of @Chelseafc. bit.ly/m/bingx_official,31,2025-09-09 08:24:01.982110
bingx,in,हिंदी में देखने के लिए क्लिक करें,https://translate.google.com/translate?u=https://www.tradingview.com/broker/BingX/&hl=hi&sl=en&tl=hi&client=search,https://translate.google.com/translate?u=https://www.tradingview.com/broker/BingX/&hl=hi&sl=en&tl=hi&client=search,,,,,,32,2025-09-09 08:24:01.982110
bingx,in,BingX — Reviews and Terms,https://www.tradingview.com/broker/BingX/,https://www.tradingview.com/broker/BingX/,,,,,"Trade & invest with BingX. Reviews by verified customers, latest terms & conditions for accounts, research ideas & scripts posted by brokers.",34,2025-09-09 08:24:01.982110
